One-syllable words with compound clusters

'French': TPREFRPB
'march': PHAFRPB
'camp': KAFRP
'serve': SEFRB
'search': SEFRPB
'bank': PWA*PBG
'served': SEFRBD
'rank': RA*PBG
'milk': PH*EULG
'banks': PWA*PBGS
'branch': PWRAFRPB
'silk': S*EULG
'sank': SA*PBG
'lamp': HRAFRP
'drank': TKRA*PBG
'marched': PHAFRPBD
'drunk': TKR*UPBG
'ranks': RA*PBGS
'jumped': SKWR*UPLD
'sunk': S*UPBG
'nerves': TPHEFRBZ
'pink': P*EUPBG
'searched': SEFRPBD
'sink': S*EUPBG
'bench': PWEFRPB
'blank': PWHRA*PBG
'damp': TKAFRP
'porch': POFRPB
'jump': SKWRUFRP
'carved': KAFRBD
'lamps': HRA*PLS
'arch': AFRPB
'swamp': SWAFRP
'nerve': TPHEFRB
'bulk': PW*ULG
'bunch': PWUFRPB
'linked': HR*EUPBGD
'monk': PHO*PBG
'stamp': STAFRP
'ink': *EUPBG
'stamped': STA*PLD
'serves': SEFRBS
'curve': KUFRB
'flank': TPHRA*PBG
'tramp': TRAFRP
'pomp': POFRP
'link': HR*EUPBG
'ranch': RAFRPB
'torch': TOFRPB
'lump': HRUFRP
'curved': KUFRBD
'starve': STAFRB
'Blanche': PWHRA*FRPB
'launched': HRAUFRPBD
'brink': PWR*EUPBG
'trench': TREFRPB
'plump': PHRUFRP
'pinch': PEUFRPB
'wink': W*EUPBG
'plank': PHRA*PBG
'arched': AFRPBD
'launch': HRAUFRPB
'pump': PUFRP
'stump': STUFRP
'curves': KUFRBS
'tank': TA*PBG
'limp': HREUFRP
'punch': PUFRPB
'clump': KHRUFRP
'perch': PEFRPB
'birch': PWEUFRPB
'wench': WEFRPB
